Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
GC_SmokeTest,Chrome 75.0.3770.100,,,2019-06-21 17:06:46,2019-06-21 17:39:36,32m - 49.781s,FAILED
,,,,,,,
Test Cases/GreenCleaning/TC_GC_Custodial,Chrome 75.0.3770.100,,,2019-06-21 17:06:47,2019-06-21 17:09:37,2m - 50.126s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 75.0.3770.100,,,2019-06-21 17:06:47,2019-06-21 17:06:51,4.463s,PASSED
runWithCucumberRunner(greenCleaningForm.Runner_GreenCleaning),Chrome 75.0.3770.100,,,2019-06-21 17:06:51,2019-06-21 17:09:36,2m - 44.742s,PASSED
Start listener action : sampleAfterTestCase,Chrome 75.0.3770.100,,,2019-06-21 17:09:36,2019-06-21 17:09:37,0.687s,PASSED
,,,,,,,
Test Cases/GreenCleaning/TC_GC_VerifyUploadedFiles_Custodial,Chrome 75.0.3770.100,,,2019-06-21 17:09:37,2019-06-21 17:11:00,1m - 22.839s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 75.0.3770.100,,,2019-06-21 17:09:37,2019-06-21 17:09:39,2.330s,PASSED
runWithCucumberRunner(greenCleaningForm.Runner_GC_VerifyUploadedFiles_Custodial),Chrome 75.0.3770.100,,,2019-06-21 17:09:39,2019-06-21 17:10:59,1m - 19.582s,FAILED
Start listener action : sampleAfterTestCase,Chrome 75.0.3770.100,,,2019-06-21 17:10:59,2019-06-21 17:11:00,0.746s,PASSED
,,,,,,,
Test Cases/GreenCleaning/TC_GC_DownloadFiles_Custodial,Chrome 75.0.3770.100,,,2019-06-21 17:11:00,2019-06-21 17:13:21,2m - 20.950s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 75.0.3770.100,,,2019-06-21 17:11:00,2019-06-21 17:11:02,2.280s,PASSED
runWithCucumberRunner(greenCleaningForm.Runner_GC_DownloadFiles_Custodial),Chrome 75.0.3770.100,,,2019-06-21 17:11:02,2019-06-21 17:13:20,2m - 17.830s,PASSED
Start listener action : sampleAfterTestCase,Chrome 75.0.3770.100,,,2019-06-21 17:13:20,2019-06-21 17:13:21,0.687s,PASSED
,,,,,,,
Test Cases/GreenCleaning/TC_GC_DeleteUploadedFiles_Custodial,Chrome 75.0.3770.100,,,2019-06-21 17:13:21,2019-06-21 17:14:03,42.187s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 75.0.3770.100,,,2019-06-21 17:13:21,2019-06-21 17:13:23,2.279s,PASSED
runWithCucumberRunner(greenCleaningForm.Runner_GC_DeleteUploadedFiles_Custodial),Chrome 75.0.3770.100,,,2019-06-21 17:13:23,2019-06-21 17:14:02,39.066s,PASSED
Start listener action : sampleAfterTestCase,Chrome 75.0.3770.100,,,2019-06-21 17:14:02,2019-06-21 17:14:03,0.696s,PASSED
,,,,,,,
Test Cases/GreenCleaning/TC_GC_EntrywaySystems,Chrome 75.0.3770.100,,,2019-06-21 17:14:03,2019-06-21 17:15:42,1m - 39.313s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 75.0.3770.100,,,2019-06-21 17:14:03,2019-06-21 17:14:05,2.280s,PASSED
runWithCucumberRunner(greenCleaningForm.Runner_GC_EntrywaySystems),Chrome 75.0.3770.100,,,2019-06-21 17:14:05,2019-06-21 17:15:41,1m - 36.212s,PASSED
